Waffengruppe,SPO,Disziplin,Kennziffer,Schuss,Übung,Kaliber ab,Kaliber bis
Kurzwaffen,8.2,Halbautomatische Dienstpistole,P-D 1,30,Präzision und Zeitserie,"7,65 mm (.320)",.45 Auto
Kurzwaffen,8.3,Dienstrevolver,R-D 1,30,Präzision und Zeitserie,.320,.45 LC
Kurzwaffen,8.4,Halbautomatische Dienstpistole / -revolver,PR-D 1,15,Dreistellung,"7,65 mm (.320)",.45 Auto oder .45 LC
Kurzwaffen,8.5,Halbautomatische Großkaliberpistole,P-G 1,30,Präzision und Zeitserie,"7,65 mm (.320)",.45 Auto
Kurzwaffen,8.6,Großkaliberrevolver,R-G 1,30,Präzision und Zeitserie,.320,.45 LC
Kurzwaffen,8.7,Halbautomatische Pistole / Revolver,PR-P 1,30,Präzision und Zeitserie,9 mm Luger oder .38 Special,.45 Auto oder .45 LC
Kurzwaffen,8.8,Halbautomatische KK-Pistole,P-K 1,30,Präzision und Zeitserie,.22 LR,.22 LR
Kurzwaffen,8.9,KK-Revolver,R-K 1,30,Präzision und Zeitserie,.22 LR,.22 LR
Kurzwaffen,8.10,Halbautomatische Dienstpistole,P-D 2,18,Präzision und Zeitserie,9 mm,.45 Auto
Kurzwaffen,8.11,Halbautomatische Pistole / Revolver,P-R 1,30/15,Präzision,9 mm Luger oder .38 Special,.45 Auto oder .45 LC
Kurzwaffen,8.12,Halbautomatische Pistole mit Anschlagschaft,P-G 3,40,Präzision und Zeitserie,9 mm Luger,9 mm Luger
Langwaffen,9.2,Militär-Repetiergewehr,G-RM 1,30/15,Präzision,"7,62 mm (.308 Win)","7,62 mm (.308 Win)"
Langwaffen,9.3,Militär-Repetiergewehr,G-RM 2,30/15,Dreistellung,"7,62 mm (.308 Win)","7,62 mm (.308 Win)"
Langwaffen,9.4,Repetiergewehr,G-R 1,30/15,Präzision,"5,56 mm",8 mm
Langwaffen,9.5,Halbautomatisches Gewehr,G-H 1,30/15,Präzision und Zeitserie,"5,56 mm (.223 Rem)","6,4 mm"
Langwaffen,9.6,Halbautomatisches Gewehr,G-H 2,30/15,Präzision und Zeitserie,"6,5 mm",8 mm
Langwaffen,9.7,Halbautomatisches Gewehr,G-H 3,30/15,Dreistellung,"5,56 mm (.223 Rem)",8 mm
Langwaffen,9.8,Halbautomatisches Gewehr,G-.30 M1,15,Dreistellung,.30 Carbine,.30 Carbine
Langwaffen,9.9,Repetier-Zielfernrohrgewehr,G-RZF 1,30/15,Präzision,"5,56 mm","8,6 mm"
Langwaffen,9.10,Halbautomatisches Zielfernrohrgewehr,G-HZF 1,30/15,Präzision,"5,56 mm",8 mm
Langwaffen,9.11,Einzellader-KK-Sportgewehr,G-EK 1,30,Dreistellung,.22 LR,.22 LR
Langwaffen,9.12,Repetier-KK-Sportgewehr,G-RK 1,30,Dreistellung,.22 LR,.22 LR
Langwaffen,9.13,Halbautomatisches KK-Sportgewehr,G-HK 1,30,Dreistellung,.22 LR,.22 LR
Langwaffen,9.14,Halbautomatisches Gewehr,G-H 4,30,Dreistellung,"5,56 mm (.223 Rem)",.30 Carbine
Langwaffen,9.15,Halbautomatisches Gewehr,G-H 5,16,Präzision und Zeitserie,"5,56 mm (.223 Rem)",8 x 57 IS
Langwaffen,9.16,Halbautomatisches Gewehr,G-H 6,30,Dreistellung,"5,56 mm (.223 Rem)",8 x 57 IS
Langwaffen,9.17,KK-Mehrladegewehr,G-KM 1,30,Präzision und Zeitserie,.22 LR,.22 LR
Langwaffen,9.18,Halbautomatisches Gewehr (Kurzwaffenkaliber),G-H 7,18,Präzision und Zeitserie,9 mm Luger,.45 Auto
